"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"An error occurred while deleting record(s).","An error occurred while deleting record(s)."
"Create New Post","Create New Post"
"Delete Post","Delete Post"
"Edit Post '%1'","Edit Post '%1'"
"ID","ID"
"Image","Image"
"Link","Link"
"Name","Name"
"New Post","New Post"
"Please Select Posts.","Please Select Posts."
"Position","Position"
"Post %1","Post %1"
"Post Information","Post Information"
"Post to delete was not found.","Post to delete was not found."
"Post","Post"
"Posts","Posts"
"Save Post","Save Post"
"Save and Continue Edit","Save and Continue Edit"
"Something went wrong while saving the Post.","Something went wrong while saving the Post."
"The Post has been deleted.","The Post has been deleted."
"The Post has been saved.","The Post has been saved."
"This Post no longer exists.","This Post no longer exists."
