Posts,הודעות
"Create New Post","צור הודעה חדשה"
"Save Post","שמור הודעה"
"Save and Continue Edit","שמור והמשך עריכה"
"Delete Post","מחק הודעה"
"Edit Post '%1'","'%1' ערוך הודעה"
"New Post","פרסום חדש"
"Post Information","מידע הודעה"
Name,שם
Image,תמונה
Link,קישור
Position,עמדה
Post,הודעה
"The Post has been deleted.","פוסט נמחק."
"Post to delete was not found.","פרסם למחוק לא נמצא."
"This Post no longer exists.","להודעה זו אינה קיימת עוד."
"Please correct the data sent.","אנא תקן את הנתונים שנשלחו."
"Something went wrong while saving the Post.","משהו השתבש בעת שמירת הפוסט."
"A total of %1 record(s) have been deleted.","סך של שיא%1 (ים) נמחק."
"The Post has been saved.","פוסט נשמר."
Edit,לערוך
Delete,לִמְחוֹק
"Delete ""${ $.$data.name }""","מחק ""$ {$. $ Data.name}"""
"Are you sure you wan't to delete the Post ""${ $.$data.name }"" ?","האם אתה בטוח שאתה רוצה לבצע למחוק פוסט ""$ {$. $ Data.name}""?"
"Add New Post","הוסף הודעה"
"Delete Posts","מחק הודעות"
"Are you sure you wan't to delete selected Posts?","האם אתה בטוח שאתה רוצה לבצע למחוק הודעות שנבחרו?"
ID,"תְעוּדַת זֶהוּת"
Created,נוצר
Modified,השתנה
